Richardson, J Don
Liu, J. L.
Li, M.
Dang, X. R.
Wang, Z. H.
Rao, Z. R.
Wu, S. X.
Li, Y. Q.
Wang, W.
Liu, Z.
Xu, R.
Yang, K.
Magnusson, P. K.
Rasmussen, F.
Lawlor, D. A.
Tynelius, P.
Gunnell, D.
Macdonald, H. Z.
Graefe, A. C.
Heeren, T.
Liu, X.
Lundy, A.
Murdoch, M.
Nichol, K. L.
Myatt, C. A.
Nampiaparampil, D. E.
Neal, L. A.
Green, G.
Turner, M. A.
Pavlin, J. A.
Murdock, P.
Elbert, E.
Milliken, C.
Hakre, S.
Mansfield, J.
Payne, K. A.
Roelofse, J. A.
Pham, P. N.
Vinck, P.
Stover, E.
Pietrzak, R. H.
Goldstein, M. B.
Malley, J. C.
Rivers, A. J.
Southwick, S. M.
Preece, A. W.
Georgiou, A. G.
Dunn, E. J.
Farrow, S. C.
Prorokovic, A.
Cavka, M.
Cubela Adoric, V.
de Jong, J. T.
Ramaswamy, S.
Madaan, V.
Qadri, F.
Padala, P. R.
Sattar, S. P.
Petty, F.
Reiber, G. E.
Hubbard, S.
Maynard, C.
Blough, D. K.
Gambel, J. M.
Smith, D. G.
Reichenberg, A.
Weiser, M.
Rapp, M. A.
Rabinowitz, J.
Caspi, A.
Schmeidler, J.
Nahon, D.
Harvey, P. D.
Davidson, M.
Robb, N.
Robinson, A.
Sagaris, L.
Salzbrenner, L. S.
Brown, J.
Dettmer, E. J.
Williams, L. R.
Ormeno, L. M.
O'Neal, L. E.
Shippy, L. J.
Sanyal, C.
Asbridge, M.
Kisely, S.
Sketris, I.
Andreaou, P.
Asmundson, G. J.
Scherrer, J. F.
Xian, H.
Seedat, S.
Niehaus, D. J.
Stein, D. J.
Sheng, H.
Zhang, Y.
Sun, J.
Gao, L.
Lu, J.
Ni, X.
Shields, N.
White, M.
Egan, M.
Sim, M.
Kelsall, H.
Sinici, E.
Tunay, S.
Kilic, E.
Erler, K.
Altinmakas, M.
Stafford, J.
Mahan, C. M.
Hendricks, A.
Sun, B.
Gao, F.
Ma, X. W.
Zhang, M. L.
Liu, J.
Zhang, L. N.
Sutcigil, L.
Oktenli, C.
Musabak, U.
Bozkurt, A.
Cansever, A.
Uzun, O.
Sanisoglu, S. Y.
Yesilova, Z.
Ozmenler, N.
Sengul, A.
Thompson, J. M.
Scott, K. C.
Dubinsky, L.
Timonen, M.
Salmenkaita, I.
Jokelainen, J.
Laakso, M.
Harkonen, P.
Koskela, P.
Meyer-Rochow, V. B.
Peitso, A.
Keinanen-Kiukaanniemi, S.
Turkcapar, H.
Guriz, O.
Ozel, A.
Isik, B.
Donbak Orsel, S.
Uzbay, T. I.
Ceyhan, M.
Kane, R.
White, R. F.
Vetter, S.
Rossegger, A.
Elbert, T.
Gerth, J.
Urbaniok, F.
Laubacher, A.
Rossler, W.
Endrass, J.
Erickson, D. J.
Huang, M. T.
Xiu, L. J.
Yang, Y. X.
Yu, S.
Sun, D. Z.
Wei, P. K.
Yaffe, K.
Vittinghoff, E.
Lindquist, K.
Barnes, D.
Covinsky, K. E.
Neylan, T.
Kluse, M.
Marmar, C.
Yildiz, C.
Atesalp, A. S.
Young, S. Y.
Gunzenhauser, J. D.
Malone, K. E.
McTiernan, A.
Kriebel, D
Hesdorffer, DC
Rauch, SL
Tamminga, CA
Hutchinson, JW
Greene, JP
Hansen, SL
Porter, LS
Astacio, M
Sobong, LC
Rossow, I
Romelsjo, A
Leifman, H
STENBACKA, M
[Anon]
Abdel-Monem, T
Bulling, D
ABIDOYE, RO
RANDLE, O
Ablard, JD
Adams, DP
Barton, C
Mitchell, GL
Moore, AL
Einagel, V
Adelman, WP
Cawkill, P
van den Berg, C
Arvers, P
Puente, J
Cuvelier, Y
Afari, N
Harder, LH
Madra, NJ
Heppner, PS
Moeller-Bertram, T
King, C
ALDWIN, CM
LEVENSON, MR
SPIRO, A
Sutton, KJ
Lachman, M
Algoe, SB
Fredrickson, BL
Alpass, F
ANDERSON, KH
MITCHELL, JM
Appelqvist-Schmidlechner, K
Upanne, M
Stengard, E
Applewhite, L
Dickins, C
Atkinson, MP
Guetz, A
Wein, LM
Avina, C
O'Donohue, W
Baehr-Jones, V
BALACKI, MF
Baldwin, CM
Long, K
Kroesen, K
Brooks, AJ
Bell, IR
Bangerter, A
Gravely, A
Cutting, A
Clothier, B
Spoont, M
Sayer, N
Greenberg, Y
Dayan, YB
Shoval, G
Barglow, P
Hargrave, R
Jamil, T
Kotun, J
Barnard, K
Frayne, SM
Skinner, KM
Sullivan, LM
Boehmer, TK
Boothe, VL
Flanders, WD
Vaitkus, MA
Astnundson, GJG
Harford, TC
Hollander, IE
Kay, AB
Hunt, PR
Kay, A
Ben Shalom, U
Horenczyk, G
BENBENISHTY, R
Treistman, R
Benedek, DM
Fullerton, C
Benight, CC
Bandura, A
Berkel, L
Pyle, S
Chen, C
Pinkston, M
Jitnarin, N
Booth, K
Poston, WSC
BIRENBAUM, R
Bisson, JI
Searle, MM
Srinivasan, M
Letuchy, E
Blume, AW
Schmaling, KB
Russell, ML
Bobo, WV
Messina, MA
Pavlovcic, F
Levandowski, D
Grieger, T
Britt, TW
Adler, A
Roemer, L
Booth-Kewley, S
Highfill-McRoy, RM
Garland, CF
Gaskin, TA
Bouchard, S
Baus, O
Bernier, F
McCreary, DR
Bowling, UB
Shermian, MD
Ryan, MAK
Hoofer, TI
Barrett-Connor, E
Brenner, LA
Terrio, H
Bride, BE
Figley, CR
Briggs, AM
Bragge, P
Smith, AJ
Govil, D
Straker, LM
Brinker, M
Westermeyer, J
Thuras, P
Canive, J
Greene-Shortridge, TM
Brink, S
Nguyen, QB
Rath, J
Brooks, MS
Laditka, SB
Laditka, JN
BROWN, MV
Workman, L
Barker, C
Horn, O
Murphy, D
Rona, R
Bryan, CJ
Kanzler, KE
Durham, TL
West, CL
Greene, E
Buckman, JEJ
Sundin, J
Greene, T
Budd, MF
BURGI, H
SUPERSAXO, Z
SELZ, B
Burnam, A
Meredith, LS
Tanielian, T
Jaycox, LH
Butterfield, MI
Bosworth, HB
Stechuchak, KM
Frothingham, R
Bastian, LA
Meador, KG
Swartz, M
Horner, RD
Byock, I
Twohig, JS
Merriman, M
Collins, K
Elter, JR
Jones, ER
Kudler, H
Callahan, ST
Cooper, WO
Campbell, DJ
Nobel, OBY
Turner, AP
Williams, RM
Hatzakis, M
Bowen, JD
Rodriquez, A
Haselkorn, JK
Moore, JL
Poythress, NG
Kennedy, CH
CARTER, JH
Carter-Visscher, R
Ceylan, S
Kilic, S
Hasde, M
Kir, T
Lara-Cinisomo, S
Burns, RM
Ruder, T
Han, B
Chang, BH
Boehmer, U
Zhou, CM
Kazis, LE
CHAPMAN, RF
Chappelle, W
Lumley, V
Chaufan, C
Isa, K
Chong, SA
Wong, J
Verma, S
Subramaniam, M
Pek, E
Chan, YH
Lee, IM
Cheok, C
Cigrang, JA
Carbone, EG
Lara, A
Todd, S
Fiedler, E
PACE, JA
YASUHARA, TT
Claassen, CA
Yip, PS
Corcoran, P
Bossarte, RM
Lawrence, BA
Currier, GW
Cole, TB
Flanagin, A
Collier, R
Comperatore, CA
Rivera, PK
Kingsley, L
Costa, M
Junior, HA
Oliveira, J
Maia, E
CRAWFORD, SL
FIEDLER, ER
CROSBY, RM
HALL, MJ
Currie, SL
Day, A
Kelloway, EK
da Silva, MB
Vieira, SB
Gorman, L
McDonough, S
Ames, B
Francisco, B
Anderson, JR
Bartolacci, J
Lagrou, R
Eversden-French, C
Hatch, S
Riley, P
Daniel, GW
Malone, DC
Dansak, DA
Darwin, JL
Reich, KI
Dausch, BM
Saliman, S
Davis, BE
Davis, JM
Murphy, EA
Carmichael, MD
de Raad, J
Redekop, WK
Deans, C
Byrne, DG
Dekel, R
DeRigne, L
Porterfield, S
Metz, S
Aspar, AM
Colonna-d'Istria, E
Raude, D
Birioukoff, M
Balaire, C
Codaccioni, A
Thevenin-Garron, V
Handa, S
Dillard, TA
Khosla, S
Ewald, FW
Kaleem, MA
Dlugosz, LJ
Hocter, WJ
Hamid, NA
Reed, RJ
Kendler, KS
Snyders-Crumley, T
Nusser, S
Anderson, D
Dolan, CA
Ender, MG
Donovan, E
Dougherty, PJ
Duarte, CS
Pihlajamaki, H
Must, A
Dunn, WR
Lincoln, AE
Hinton, RY
Smith, GS
Dupre, KE
Day, AL
Durst, R
Teitelbaum, A
Abramowitz, M
Zislin, J
Fluk, A
Mark, M
Eaton, KM
Whitt, AA
Cabrera, OA
Cox, A
Eckart, RE
Shry, EA
Thompson, CM
Stajduhar, KC
Krasuski, RA
Griffith, KH
Fischer, ID
Chantarujikapong, S
Hunter, J
Elbogen, EB
Fuller, S
Johnson, SC
Brooks, S
Kinneer, P
Wagner, HR
Fuller, SR
Kinneer, PM
Mid-Atlantic Mental Illness Res Ed
Elder, GH
Clipp, EC
Brown, JS
Martin, LR
Friedman, HS
Baugher, SN
Quevillon, RP
Sauvageot, J
Egede, LE
Endara, SM
Sevick, CJ
Conlin, AMS
Macera, CA
KATON, WJ
Englert, DR
Hunter, CL
Sweeney, BJ
Engstrom, EJ
Ernst, W
Fausti, SA
Wilmington, DJ
Gallun, FJ
Myers, PJ
Henry, JA
Chatterjee, A
Feczer, D
Bjorklund, P
FELDMAN, D
Fernandez, R
Vozenilek, JA
Hegarty, CB
Motola, I
Reznek, M
Phrampus, PE
Kozlowski, SWJ
Rath, CM
Sponheim, SR
Pedlar, DJ
Finley, EP
Zeber, JE
Pugh, MJV
Cantu, G
Copeland, LA
Parchman, ML
Noel, PH
Fontana, A
Green, BL
Adams, G
Jex, S
For-Wey, L
Fei-Yin, L
Bih-Ching, S
FRAGALA, MR
MCCAUGHEY, BG
Frain, MP
Bishop, M
Bethel, M
Yu, W
Ananth, L
Iqbal, S
Thrailkill, A
Phibbs, CS
Freedy, JR
Magruder, KM
Mainous, AG
Geesey, ME
Camemolla, M
French, LM
CHARNEY, DS
Lucenko, BA
Retzlaff, P
Fukuda, S
Swanson, RD
Reger, MA
Gamache, G
Tessler, R
Gardella, C
Johnson, KM
Dobie, DJ
Bradley, KA
Gaylord, KM
Cooper, DB
Mercado, JM
Kennedy, JE
Yoder, LH
Holcomb, JB
Geeze, DS
GERSONS, BPR
CARLIER, IVE
Gewirtz, AH
DeGarmo, DS
Khaylis, A
Giacaman, R
Shannon, HS
Saab, H
Arya, N
Boyce, W
Gibson, TB
Lee, TA
Vogeli, CS
Hidalgo, J
Carls, GS
Sredl, K
DesHarnais, S
Marder, WD
Weiss, KB
Williams, TV
Shields, AE
Gilpen, JL
Carabin, H
Regens, JL
Burden, RW
Ginzburg, HM
GLASS, AJ
Curran, B
Vitek, ME
Henderson, WG
Goldzweig, CL
Balekian, TM
Rolon, C
Shekelle, PG
Gore, KL
Freed, MC
Armstrong, DW
Gould, M
Castro, C
Hanily, N
Steele, N
Kearney, S
Gracey, M
Gradus, JL
Kelly, K
Grady, BJ
Melcer, T
Granado, NS
Swanson, GM
Harris, RB
Shahar, E
Coate, BD
Anderson, CM
Berg, SW
Wignall, FS
BarrettConnor, E
Graham, JT
Emslie, C
O'Neill, D
Hunt, K
Walker, S
Greenberg, GA
Rosenheck, RA
Buckman, J
Groer, MW
Burns, C
Groessl, EJ
Weingart, KR
Aschbacher, K
Pada, L
Baxi, S
Gros, DF
Strachan, M
Ruggiero, KJ
Knapp, RG
Lejuez, CW
Acierno, R
Naifeh, JA
Frueh, C
Guiraudet, O
de Cremeur, GL
Bonnevie, L
Heno, P
Pelletier, C
Fraboulet, R
Schiano, P
Martin, AC
Chenilleau, MC
Delarbre, D
Chanudet, X
HABECK, EJ
BOND, TC
Stein, RJ
Hagopian, A
Barker, K
Sanchez, JL
Hankin, CS
Miller, DR
Frayne, S
Tripp, TJ
Harpaz-Rotem, I
Hartmann, E
Gronnerod, C
Hartzell, JD
Spooner, K
Howard, R
Wegner, S
Wortmann, G
Goulet, JL
Krebs, EE
Skanderson, M
Leslie, D
Justice, AC
Brandt, C
HAYES, FW
Hayes, J
Wakefield, B
Andresen, EM
Scherrer, J
Traylor, L
Wiegmann, P
Demark, T
DeSouza, C
Hays, RD
Cunningham, WE
Sherbourne, CD
Wilson, IB
Wu, AW
Cleary, PD
McCaffrey, DF
Fleishman, JA
Crystal, S
Collins, R
Eggan, F
Shapiro, MF
Bozzette, SA
Heflinger, CA
Heir, T
Eide, G
Helmer, DA
Rossignol, M
Blatt, M
Agarwal, R
Teichman, R
Lange, G
Helmhout, PH
Harts, CC
Staal, JB
de Bie, RA
Melin, B
Henrich, CC
Shahar, G
Herrell, R
Henter, ID
Mojtabai, R
Bartko, JJ
Venable, D
Susser, E
Merikangas, KR
Wyatt, RJ
Hill, JV
Allman, LR
Ditzler, TF
Johnson, RC
Barton, RA
Lange, C
Bacon, B
Hill, JJ
Mobo, BHP
Cullen, MR
Hinojosa, R
Hinojosa, MS
Nelson, K
Hoff, RA
Lesikar, SE
Guevara, R
Lange, J
Brundage, JF
Toboni, HE
Bell, N
HOIBERG, A
WHITE, JF
HOLSENBECK, LS
Hooper, TI
DeBakey, SF
Bellis, KS
Cox, CKL
Hopkins-Chadwick, DL
Ryan-Wenger, N
Hoshmand, LT
Hoshmand, AL
Kress, AM
Yuan, HX
Hoyt, GB
Hubble, MA
Miller, SD
Duncan, BL
Huebner, AJ
Mancini, JA
Wilcox, RM
Grass, SR
Grass, GA
Hughes, DA
Hohner, JA
Jones, J
Hughes, JGHH
Earnshaw, NM
Eldridge, R
Deahl, MP
Hultman, B
Hemlin, S
Humphrey, JC
Hunter, CM
West, ET
Kinder, MH
Carroll, DW
Hyams, KC
Bodner, E
Sarel, A
Einat, H
Sherwood, R
Israelashvili, M
Wegman-Rozi, O
Nikolaou, V
Thornicroft, G
Waterdrinker, A
Fear, N
Jackson, WT
Taylor, RE
Palmatier, AD
Elliott, TR
Elliott, JL
Keel, PK
Jennings, PA
Mroczek, DK
Irwin, RAC
Josephson, AM
Davis, H
Xenakis, SN
Bloedau, L
Ness, R
Mabe, A
Lee, B
Traylor, J
Clawson, L
Jeon, HJ
Suh, T
Lee, HJ
Hahm, BJ
Lee, JY
Cho, SJ
Lee, YR
Chang, SM
Cho, MJ
Johnsen, BH
Laberg, JC
Eid, J
Johnson, RF
Merullo, DJ
Johnson, WB
Bacho, R
Heim, M
Ralph, J
Grasso, I
Maslowski, K
Jones, DR
Jones, E
Thomas, A
Ironside, S
Jones, L
Rrustemi, A
Shahini, M
Uka, A
Jones, N
Jones, NF
Holden, MS
Kane, MN
Green, D
Jacobs, RJ
Li, B
Kaplan, MS
McFarland, BH
Huguet, N
WAYSMAN, M
Karlsson, H
Ahlborg, B
Katz, LS
Cojucar, G
Davenport, CT
Pedram, C
Lindl, C
Meis, LA
Kelly, MM
Scheiderer, EM
Ouimette, P
Daley, J
Moore, BA
Jaffee, MS
Leskin, GA
Stokes, JW
Leal, FO
Fitzpatrick, PJ
Lewis, JD
Cullen, MA
Amador, RR
Killgore, WDS
Kelley, A
Balkin, TJ
Kilts, JD
Keefe, FJ
Payne, VM
Hamer, RM
Naylor, JC
Calnaido, RP
Strauss, JL
Parke, G
Massing, MW
Youssef, NA
Shampine, LJ
Vet Affairs MidAtlantic Mental
Kim, PY
Wilk, JE
Kimerling, R
Gima, K
Smith, MW
Street, A
Knight, J
Samper, RE
Kline, A
Falca-Dodson, M
Sussner, B
Ciccone, DS
Chandler, H
Callahan, L
Losonczy, M
Klusman, LE
Konovalov, S
Scotch, M
Post, L
Konrad, N
Ilic, MG
Romic, Z
Vidovic, A
Pivac, N
Krahl, PL
Litow, FK
Kramer, BJ
Jouldjian, S
Washington, DL
Harker, JO
Saliba, D
Kramer, TL
Pyne, JM
Kimbrell, TA
Savary, PE
Smith, JL
Jegley, SM
Krauss, MR
Russell, RK
Powers, TE
Li, YZ
Kremen, WS
Thompson-Brenner, H
Leung, YMJ
Grant, MD
Franz, CE
Jacobson, KC
Boake, C
Peterson, MR
Hartzell, MC
Koslowe, P
Roy, M
Kuehn, BM
La Bash, HAJ
Marin, BA
Chang, AS
Lande, GR
LANGE, AL
FISCHBEIN, S
Langston, V
Lara, MA
Larsson, H
Broman, L
Harms-Ringdahl, K
Lassagne, M
de Montleau, F
RIDSDALE, L
SMEETON, N
LeardMann, CA
Lee, JA
Lemmon, KM
Stafford, EM
Lester, KS
Levin, AP
Gold, LH
Onorato, AA
Levitt, AJ
Culhane, DP
DeGenova, J
Bainbridge, J
Levy, BS
Sidel, VW
Moore, DE
Lindley, S
Cacciapaglia, H
Noronha, D
Carlson, E
Schatzberg, A
Lindstrom, KE
Wang, LZ
Goldfinger, WE
Linkh, DJ
Sonnek, SM
Liu, B
Liu, JH
Gao, WB
Zou, L
LIVINGST.BL
Lonnqvist, JE
Leikas, S
Verkasalo, M
Paunonen, S
Luce, H
Schrager, S
Gilchrist, V
Luchins, DJ
Lunasco, TK
Goodwin, EA
Ozanian, AJ
Loflin, EM
Lundin, A
Hallsten, L
Ottosson, J
Luria, G
Torjman, A
Lindsay, SP
MACHER, A
GOOSBY, E
BARKER, L
VOLBERDING, P
GOLDSCHMIDT, R
BALANO, KB
WILLIAMS, A
HOENIG, L
GOULD, B
DANIELS, E
MACLEOD, AD
Macleod, J
Oakes, R
Copello, A
Crome, L
Egger, M
Hickman, M
Oppenkowski, T
Stokes-Lampard, H
Maddi, SR
Mageroy, N
Riise, T
Moen, BE
Magnezi, R
Zrihen, I
Ashkenazi, I
Magnezi, R
Seal, KH
Knight, SJ
Ren, L
Malone, RD
Carr, RG
MAOZ, B
RIBAK, J
RABINOWITZ, S
ANTONOVSKY, H
Martin, L
Rosen, LN
Durand, DB
Knudson, KH
Stretch, RH
Marttunen, M
Pelkonen, S
Schroderus, M
Lonnqvist, J
Matsumura, J
Mattila, AM
Crandall, BD
Goldman, SB
Mazokopakis, EE
Vlachonikolis, IG
Sgantzos, MN
Polychronidis, IE
Mavreas, VG
Lionis, CD
McCall-Hosenfeld, JS
Liebschutz, JM
Seaver, MR
McCauley, M
Liebling-Kalifani, H
McCormack, L
McCrea, M
Pliskin, N
Barth, J
Cox, D
Fink, J
French, L
Hammeke, T
Hess, D
Hopewell, A
Orme, D
Powell, M
Ruff, R
Schrock, B
Terryberryspohr, L
Vanderploeg, R
MCDOWELL, I
HILL, G
LINDSAY, J
HELLIWELL, B
COSTA, L
BEATTIE, BL
TUOKKO, H
HERTZMAN, C
GUTMAN, G
PARHAD, I
PARBOOSINGH, J
BLAND, R
NEWMAN, S
DOBBS, A
HAZLETT, C
RUEL, B
DARCY, C
SEGALL, A
CHAPPELL, N
MANFREDA, J
MONTGOMERY, P
OSTBYE, T
CHAMBERS, LW
MUNROEBLUM, H
EASTWOOD, R
RIFAT, S
VERDON, J
NAVARRO, J
GAUTHIER, S
WOLFSON, C
BAUMGARTEN, M
NAZERALI, N
SKA, B
KERGOAT, MJ
JOANETTE, Y
HEBERT, R
BRAVO, G
DOYON, J
BOUCHARD, R
MORIN, J
GAUVREAU, D
BALRAM, C
ROCKWOOD, K
GRAY, J
FISK, J
NILSSON, T
DONALD, A
BUEHLER, S
PRYSEPHILLIPS, W
KOZMA, A
MCDUFF, DR
JOHNSON, JL
Saxon, AJ
Malte, CA
Chow, B
Bailey, S
Boardman, KD
Carmody, TP
Joseph, AM
Shih, MC
Lu, Y
Holodniy, M
Lavori, PW
CSP 519 Study Team
Mcfee, RB
McGanity, WJ
McGraw, LK
Turner, BS
Paul, SM
Stotts, NA
Dracup, KA
McHugh, PR
Treisman, G
Glass, DC
Ittak, P
McLaughlin, SS
McLaughlin, AD
McLay, RN
Lyketsos, CG
Means, MK
Ulmer, CS
Edinger, JD
Koldsland, BO
Loeb, ME
Cowan, DN
Miller, L
Miller, MJ
McCrone, S
MILLER, TW
VELTKAMP, LJ
Milstein, G
Manierre, A
Yali, AM
Miyakita, T
Matsui, T
Ito, A
Tokuyama, T
Hiramatsu, K
Osada, Y
Susser, ES
Taft, CT
Fredman, SJ
Montalvo, B
Mora, AG
Ritenour, AE
Wade, CE
Blackbourne, LH
Morland, LA
Greene, CJ
Rosen, C
Mauldin, PD
Mueller, M
Riecher, A
Kammermann, J
Stieglitz, RD
Stettbachert, A
Munshi, A
Woods, N
Hodges, B
Hodges, J
Cowper, D
Hunt, C
Kressin, N
O'Brien, N
Pryor, JB
Wall, MM
Ripley, DC
Nash, WP
Silva, C
Litz, B
Vasterling, J
Ewing-Cobbs, L
Horn, S
Gaskin, T
Golden, J
Riley, WT
Bowles, SV
Favret, J
Koffman, R
Farnsworth, LC
Nayback, AM
Kiernan, M
Hill, D
McManus, F
Neumark, YD
Grotto, I
Kark, JD
NEWHOUSE, PA
Niebuhr, DW
Cuda, S
Johnson, BM
Niemela, SM
Poikolainen, K
Niemeyer, DM
Nietert, PJ
French, MT
Booth, BM
NOLAN, KJ
COOKE, ET
Nusbaum, MRH
Frasier, PY
Rojas, F
Trotter, K
Tudor, G
Nyamathi, A
Nahid, P
Berg, J
Burrage, J
Christiani, A
Aqtash, S
Morisky, D
Leake, B
O'Connor, CFG
Deuster, PA
Henry, KA
Martindale, VE
Talbot, L
Jonas, W
Friedl, K
Odenstad, A
Hjern, A
Lindblad, F
Vinnerljung, B
Dalen, M
O'Donnell, JC
Oguine, C
Ehlich, P
Ortega, AN
Orthner, DK
Rose, R
OToole, BI
Boardman, J
Wasserman, D
Padden, DL
Connors, RA
Agazio, JG
Page, GD
Palgi, Y
Ben-Ezra, M
Langer, S
Essar, N
Paris, R
DeVoe, ER
Ross, AM
Acker, ML
Patterson, JC
Drummond, FE
Pearn, J
Pehrson, KL
Hamlin, ER
Peltonen, K
Peltz, R
Bernstein, JW
Grand, S
Perera, H
Suveendran, T
Mariestella, A
Peterson, AL
Baker, MT
McCarthy, KR
Wong, V
Haynes, MF
Bush, AC
Peterson, C
Park, N
Pflanz, S
Pflanz, SE
Ogle, AD
Phillips, CJ
Gumbs, GR
PIETILA, AM
RANTAKALLIO, P
LAARA, E
Pinals, DA
Pincus, SH
Pinder, RJ
Reid, GE
Pizarro, J
Silver, RC
Prause, J
Pols, H
Oak, S
Rath, M
Courage, C
Duffy, C
Nelson, NW
PORTER, TL
Preiss, M
Koblihova, J
Kramska, L
Dusankova, E
Netuka, D
Bernardova, L
Benes, V
PRESCOTT, JM
SNOW, MG
Komproe, I
El-Masri, M
Muhammed, AH
Abdulrahman, HA
Montgomery, E
Salo, J
Purkayastha, SS
Punamki, RL
MARGALIT, C
Muilwilk, A
Ramchand, R
Schell, TL
Karney, BR
Osilla, KC
Caldarone, LB
Holloway, KM
Candy, C
Reinig, K
Lee, C
Rubinstein, D
Bagur, M
Spitzer, V
Renshaw, KD
Rodrigues, CS
Jones, DH
Resnick, SG
Reyes, VA
Hicklin, TA
Riddle, MS
Sanders, JW
Jones, JJ
Webb, SC
Riskin, A
Reis, S
Tamir, A
Shemer, J
Salantera, S
Ronning, A
Cardona, RA
Gelles, MG
Riviere, LA
Edens, EN
Bliese, PD
Klocko, RP
Robbins, CB
Vreeman, DJ
Sothmann, MS
Wilson, SL
Oldridge, NB
Robertson, MD
Walter, G
RODRIGUEZ, AR
Rowan, AB
Campise, RL
Rowe, EL
Pineles, SL
Batten, SV
Davison, EH
Rudd, MD
Rutkowski, L
Anderson, CJ
Lloyd, DW
Keenan, HT
Gumbs, G
Sahlstein, E
Maguire, KC
Timmerman, L
Sajatovic, M
Sanders, R
Alexeenko, L
Madhusoodanan, S
Saldir, M
Sarici, SU
Bakar, EE
Ozcan, O
Samardzic, R
Spiric, Z
Mandic-Gajic, G
Radovanovic, M
Bjelica, N
Eror, A
Sammons, MT
Putnam, SD
Frankart, C
Frenck, RW
Monteville, MR
Rockabrand, DM
Sharp, TW
Tribble, DR
Sansone, RA
Matheson, MVG
Gaither, GA
Logan, N
Santiago, PN
SATIN, DG
Savitsky, L
Illingworth, M
DuLaney, M
Friedemann-Sanchez, G
Parker, LE
Chiros, C
Sayers, SL
Farrow, VA
Oslin, DW
SCHEI, E
SCHEIDLINGER, S
Schlesinger, HJ
Schultz, JR
Bell, KM
Naugle, AE
Schwebs, R
Bertenthal, D
Chu, A
Miner, CR
Sen, S
Shek, PN
Shephard, RJ
Brenner, IKM
Bateman, WA
Shek, PN
Sheppard, SC
Malatras, JW
Israel, AC
Shipherd, JC
Resick, PA
SIERLES, FS
TAYLOR, MA
Skinner, K
Kressin, NR
Kazis, L
Casey, V
Skomorovsky, A
Sudom, KA
Leard, CA
Wingard, DL
Patterson, TL
Slymen, DJ
Millenium Cohort Study Team
Kritz-Silverstein, D
Sallis, JF
Blaze, D
Sohn, L
Harada, ND
SHOHAM, S
Santalahti, P
Davies, M
Aronen, ET
Linna, SL
Puura, K
SPENCER, CD
GRAY, B
Spevak, C
Buckenmaier, C
Spira, JL
Johnston, S
Popovic, S
Russoniello, C
Wood, D
SRABSTEIN, J
Staal, MA
Stafstrom, CE
Thomsen, CJ
Milner, JS
Stea, JB
Anderson, MA
Bishop, JM
Griffith, LJ
SteelFisher, GK
Zaslavsky, AM
Blendon, RJ
McAllister, TW
Sternberg, SA
McDonald, JJ
Gifford, RK
Stimpson, NJ
Thomas, HV
Weightman, AL
Dunstan, F
Stone, AM
Vogt, D
Dutra, L
STRUMPFER, DJW
Stuart, JA
Norwood, AE
Murray, K
Suemer, HC
Suemer, N
Sumer, HC
Bilgic, R
Sumer, N
Erol, T
Suris, A
Lind, L
Kashner, TM
Borman, PD
Tang, JY
Han, XQ
Wang, CY
Wang, XX
Jiang, B
Wang, YR
Weng, WL
Tang, TLP
Ibrahim, AHS
Tavarez, MI
Chun, H
Anastario, MP
Teachman, J
Thalassis, N
Kiernan, MD
McKechanie, AG
Finch, PJC
McManus, FB
Chung, WC
Fan, PL
Yang, CY
Ushakov, IB
Bubeev, YA
Van Brunt, DL
van Staden, LN
French, CE
van Zuiden, M
Maas, M
Heijnen, CJ
Kavelaars, A
Verfaellie, M
Sullivan, KD
Villa, VM
Washington, D
Damron-Rodriguez, J
Vinokur, AD
Pierce, PF
Buck, CL
Visco, R
Savarese, VW
Suvak, MK
Pless, AP
Wadsworth, SMM
Warner, CH
Appenzeller, GN
Warner, CM
Breitbach, JE
Yates, V
Webster, WG
Zarka, S
Werbeloff, N
Kravitz, E
Fortuna, SO
Wennerstad, KM
Silventoinen, K
Bergman, L
Kaprio, J
WENZEL, SL
GELBERG, L
BAKHTIAR, L
CASKEY, N
HARDIE, E
REDFORD, C
SADLER, N
WERKMAN, S
West, AN
Weeks, WB
West, A
Thompson, J
Crosby, R
Garrard, J
Roziner, I
Westphal, RJ
McGurk, DM
WILLIAMS, JW
Schone, EM
Archibald, ND
Thompson, JW
Wilson, ALG
Frommelt, RA
Ding, L
Wilson, JAB
Onorati, K
Mishkind, M
WINKLEBY, MA
FLESHIN, D
MORI, D
KRYGERIS, S
Stern, A
Zaslavsky, A
Roper, SF
Wilson, K
Woodhead, C
MacManus, D
Dean, K
McManus, S
Meltzer, H
Jenkins, R
Wright, KM
Huffman, AH
Bonnefil, C
Harris, JS
Young, SYN
Hansen, CJ
Gibson, RL
YOUNG, SA
YOUNGGREN, JN
QUIRK, MP
LIPSITCH, II
Zimmermann, P
Strohle, A
Langner, F
Lanczik, M
Zinzow, HM
Monnier, J
Suffoletta-Maierie, S
Zwanziger, J
Kravitz, RL
Hosek, SD
Hart, K
Sloss, EM
Sullivan, O
Kallich, JD
Goldman, DP
Audoin-Rouzeau, S
Bakke, KM
O'Loughlin, J
Ward, MD
Blanton, SL
Butler, CK
Gluch, T
Mitchell, NJ
Callahan, JL
Cogswell, T
Hafner-Burton, EM
Tsutsui, K
Harris, MB
KnightBohnhoff, K
Hite, K
Hughes, J
Letterie, GS
Leve, L
